"Z","X","Y","zenith","azimuth","roll","Z_ground","intervalCentre","Created","intervalNo","Label"
205.517763108502,284633.847763108,5712800,45,270,0,21.67,"[284450, 5712800, 21.67]",FALSE,0,"movie-000000.png"
205.517763108502,284630.717405573,5712833.78193782,45,259.41,0,21.67,"[284450, 5712800, 21.67]",FALSE,0,"movie-000001.png"
205.517763108502,284621.432933537,5712866.41347227,45,248.82,0,21.67,"[284450, 5712800, 21.67]",FALSE,0,"movie-000002.png"
205.517763108502,284606.31051856,5712896.78337557,45,238.24,0,21.67,"[284450, 5712800, 21.67]",FALSE,0,"movie-000003.png"
205.517763108502,284585.865136348,5712923.8574371,45,227.65,0,21.67,"[284450, 5712800, 21.67]",FALSE,0,"movie-000004.png"
205.517763108502,284560.79302987,5712946.71368216,45,217.06,0,21.67,"[284450, 5712800, 21.67]",FALSE,0,"movie-000005.png"
205.517763108502,284531.947999641,5712964.57376873,45,206.47,0,21.67,"[284450, 5712800, 21.67]",FALSE,0,"movie-000006.png"
205.517763108502,284500.31232857,5712976.829493,45,195.88,0,21.67,"[284450, 5712800, 21.67]",FALSE,0,"movie-000007.png"
205.517763108502,284466.963331493,5712983.06350096,45,185.29,0,21.67,"[284450, 5712800, 21.67]",FALSE,0,"movie-000008.png"
205.517763108502,284433.036668507,5712983.06350096,45,174.71,0,21.67,"[284450, 5712800, 21.67]",FALSE,0,"movie-000009.png"
205.517763108502,284399.68767143,5712976.829493,45,164.12,0,21.67,"[284450, 5712800, 21.67]",FALSE,0,"movie-000010.png"
205.517763108502,284368.052000359,5712964.57376873,45,153.53,0,21.67,"[284450, 5712800, 21.67]",FALSE,0,"movie-000011.png"
205.517763108502,284339.20697013,5712946.71368216,45,142.94,0,21.67,"[284450, 5712800, 21.67]",FALSE,0,"movie-000012.png"
205.517763108502,284314.134863652,5712923.8574371,45,132.35,0,21.67,"[284450, 5712800, 21.67]",FALSE,0,"movie-000013.png"
205.517763108502,284293.68948144,5712896.78337557,45,121.76,0,21.67,"[284450, 5712800, 21.67]",FALSE,0,"movie-000014.png"
205.517763108502,284278.567066463,5712866.41347227,45,111.18,0,21.67,"[284450, 5712800, 21.67]",FALSE,0,"movie-000015.png"
205.517763108502,284269.282594427,5712833.78193782,45,100.59,0,21.67,"[284450, 5712800, 21.67]",FALSE,0,"movie-000016.png"
205.517763108502,284266.152236892,5712800,45,90,0,21.67,"[284450, 5712800, 21.67]",FALSE,0,"movie-000017.png"
205.517763108502,284269.282594427,5712766.21806218,45,79.41,0,21.67,"[284450, 5712800, 21.67]",FALSE,0,"movie-000018.png"
205.517763108502,284278.567066463,5712733.58652773,45,68.82,0,21.67,"[284450, 5712800, 21.67]",FALSE,0,"movie-000019.png"
205.517763108502,284293.68948144,5712703.21662443,45,58.24,0,21.67,"[284450, 5712800, 21.67]",FALSE,0,"movie-000020.png"
205.517763108502,284314.134863652,5712676.1425629,45,47.65,0,21.67,"[284450, 5712800, 21.67]",FALSE,0,"movie-000021.png"
205.517763108502,284339.20697013,5712653.28631784,45,37.06,0,21.67,"[284450, 5712800, 21.67]",FALSE,0,"movie-000022.png"
205.517763108502,284368.052000359,5712635.42623127,45,26.47,0,21.67,"[284450, 5712800, 21.67]",FALSE,0,"movie-000023.png"
205.517763108502,284399.68767143,5712623.170507,45,15.88,0,21.67,"[284450, 5712800, 21.67]",FALSE,0,"movie-000024.png"
205.517763108502,284433.036668507,5712616.93649904,45,5.29,0,21.67,"[284450, 5712800, 21.67]",FALSE,0,"movie-000025.png"
205.517763108502,284466.963331493,5712616.93649904,45,354.71,0,21.67,"[284450, 5712800, 21.67]",FALSE,0,"movie-000026.png"
205.517763108502,284500.31232857,5712623.170507,45,344.12,0,21.67,"[284450, 5712800, 21.67]",FALSE,0,"movie-000027.png"
205.517763108502,284531.947999641,5712635.42623127,45,333.53,0,21.67,"[284450, 5712800, 21.67]",FALSE,0,"movie-000028.png"
205.517763108502,284560.79302987,5712653.28631784,45,322.94,0,21.67,"[284450, 5712800, 21.67]",FALSE,0,"movie-000029.png"
205.517763108502,284585.865136348,5712676.1425629,45,312.35,0,21.67,"[284450, 5712800, 21.67]",FALSE,0,"movie-000030.png"
205.517763108502,284606.31051856,5712703.21662443,45,301.76,0,21.67,"[284450, 5712800, 21.67]",FALSE,0,"movie-000031.png"
205.517763108502,284621.432933537,5712733.58652773,45,291.18,0,21.67,"[284450, 5712800, 21.67]",FALSE,0,"movie-000032.png"
205.517763108502,284630.717405573,5712766.21806218,45,280.59,0,21.67,"[284450, 5712800, 21.67]",FALSE,0,"movie-000033.png"
206.827763108502,284633.847763108,5712950,45,270,0,22.98,"[284450, 5712950, 22.98]",FALSE,1,"movie-000034.png"
206.827763108502,284630.717405573,5712983.78193782,45,259.41,0,22.98,"[284450, 5712950, 22.98]",FALSE,1,"movie-000035.png"
206.827763108502,284621.432933537,5713016.41347227,45,248.82,0,22.98,"[284450, 5712950, 22.98]",FALSE,1,"movie-000036.png"
206.827763108502,284606.31051856,5713046.78337557,45,238.24,0,22.98,"[284450, 5712950, 22.98]",FALSE,1,"movie-000037.png"
206.827763108502,284585.865136348,5713073.8574371,45,227.65,0,22.98,"[284450, 5712950, 22.98]",FALSE,1,"movie-000038.png"
206.827763108502,284560.79302987,5713096.71368216,45,217.06,0,22.98,"[284450, 5712950, 22.98]",FALSE,1,"movie-000039.png"
206.827763108502,284531.947999641,5713114.57376873,45,206.47,0,22.98,"[284450, 5712950, 22.98]",FALSE,1,"movie-000040.png"
206.827763108502,284500.31232857,5713126.829493,45,195.88,0,22.98,"[284450, 5712950, 22.98]",FALSE,1,"movie-000041.png"
206.827763108502,284466.963331493,5713133.06350096,45,185.29,0,22.98,"[284450, 5712950, 22.98]",FALSE,1,"movie-000042.png"
206.827763108502,284433.036668507,5713133.06350096,45,174.71,0,22.98,"[284450, 5712950, 22.98]",FALSE,1,"movie-000043.png"
206.827763108502,284399.68767143,5713126.829493,45,164.12,0,22.98,"[284450, 5712950, 22.98]",FALSE,1,"movie-000044.png"
206.827763108502,284368.052000359,5713114.57376873,45,153.53,0,22.98,"[284450, 5712950, 22.98]",FALSE,1,"movie-000045.png"
206.827763108502,284339.20697013,5713096.71368216,45,142.94,0,22.98,"[284450, 5712950, 22.98]",FALSE,1,"movie-000046.png"
206.827763108502,284314.134863652,5713073.8574371,45,132.35,0,22.98,"[284450, 5712950, 22.98]",FALSE,1,"movie-000047.png"
206.827763108502,284293.68948144,5713046.78337557,45,121.76,0,22.98,"[284450, 5712950, 22.98]",FALSE,1,"movie-000048.png"
206.827763108502,284278.567066463,5713016.41347227,45,111.18,0,22.98,"[284450, 5712950, 22.98]",FALSE,1,"movie-000049.png"
206.827763108502,284269.282594427,5712983.78193782,45,100.59,0,22.98,"[284450, 5712950, 22.98]",FALSE,1,"movie-000050.png"
206.827763108502,284266.152236892,5712950,45,90,0,22.98,"[284450, 5712950, 22.98]",FALSE,1,"movie-000051.png"
206.827763108502,284269.282594427,5712916.21806218,45,79.41,0,22.98,"[284450, 5712950, 22.98]",FALSE,1,"movie-000052.png"
206.827763108502,284278.567066463,5712883.58652773,45,68.82,0,22.98,"[284450, 5712950, 22.98]",FALSE,1,"movie-000053.png"
206.827763108502,284293.68948144,5712853.21662443,45,58.24,0,22.98,"[284450, 5712950, 22.98]",FALSE,1,"movie-000054.png"
206.827763108502,284314.134863652,5712826.1425629,45,47.65,0,22.98,"[284450, 5712950, 22.98]",FALSE,1,"movie-000055.png"
206.827763108502,284339.20697013,5712803.28631784,45,37.06,0,22.98,"[284450, 5712950, 22.98]",FALSE,1,"movie-000056.png"
206.827763108502,284368.052000359,5712785.42623127,45,26.47,0,22.98,"[284450, 5712950, 22.98]",FALSE,1,"movie-000057.png"
206.827763108502,284399.68767143,5712773.170507,45,15.88,0,22.98,"[284450, 5712950, 22.98]",FALSE,1,"movie-000058.png"
206.827763108502,284433.036668507,5712766.93649904,45,5.29,0,22.98,"[284450, 5712950, 22.98]",FALSE,1,"movie-000059.png"
206.827763108502,284466.963331493,5712766.93649904,45,354.71,0,22.98,"[284450, 5712950, 22.98]",FALSE,1,"movie-000060.png"
206.827763108502,284500.31232857,5712773.170507,45,344.12,0,22.98,"[284450, 5712950, 22.98]",FALSE,1,"movie-000061.png"
206.827763108502,284531.947999641,5712785.42623127,45,333.53,0,22.98,"[284450, 5712950, 22.98]",FALSE,1,"movie-000062.png"
206.827763108502,284560.79302987,5712803.28631784,45,322.94,0,22.98,"[284450, 5712950, 22.98]",FALSE,1,"movie-000063.png"
